step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
0,0.0390625,0.21484375,0.0390625,-0.0011013410621671937,0.48748831356414846,1.763916015625,0.0,1e-05
1,0.109375,0.51171875,0.109375,-0.0028458411507017445,0.5056003177355505,1.767822265625,0.0,2e-05
2,0.125,0.51171875,0.125,-0.002863945373974275,0.6395684263229308,1.78076171875,0.0,3e-05
3,0.13671875,0.52734375,0.13671875,-0.0037099943510838784,0.7467325745150849,1.75439453125,0.0,4e-05
4,0.26953125,0.578125,0.26953125,-0.004758053397381445,0.9948351265110454,1.634521484375,0.0,5e-05
5,0.43359375,0.74609375,0.43359375,-0.002698719432373764,1.0016100071768508,1.6015625,0.0,4.998769829017084e-05
6,0.546875,0.78515625,0.546875,-0.00134680001065135,0.9988067519477039,1.550048828125,0.0,4.995080661242243e-05
7,0.5,0.875,0.5,-0.003497343357594218,0.9999766712760964,1.490966796875,0.0,4.988936530726276e-05
8,0.484375,0.8671875,0.484375,-0.0037728333154518623,0.9991388811485634,1.55615234375,0.0,4.980344155985695e-05
9,0.46484375,0.86328125,0.46484375,-0.005585978180533857,0.996518160751123,1.54296875,0.0,4.9693129326561254e-05
10,0.59375,0.8828125,0.59375,-0.005473501074447995,1.0046627811901492,1.5615234375,0.0,4.9558549232183214e-05
11,0.48046875,0.71875,0.48046875,-0.007297089367057197,1.0013458518604437,1.582275390625,0.0,4.939984843808013e-05
12,0.3359375,0.625,0.3359375,-0.009556157034239732,0.9969490312371536,1.6025390625,0.0,4.9217200481240346e-05
13,0.36328125,0.578125,0.36328125,-0.006535270105814561,1.0031821287119673,1.564208984375,0.0,4.901080508452305e-05
14,0.29296875,0.44140625,0.29296875,-0.008112424118735362,1.0005041818753144,1.509033203125,0.0,4.878088793826428e-05
15,0.2109375,0.37890625,0.2109375,-0.005352592357667163,1.0050751870690395,1.485107421875,0.0,4.8527700453487873e-05
16,0.17578125,0.27734375,0.17578125,-0.004372512856207322,1.0006437493651985,1.512451171875,0.0,4.825151948699116e-05
17,0.22265625,0.296875,0.22265625,-0.007217775051685749,0.999987435320881,1.498291015625,0.0,4.795264703860616e-05
18,0.21875,0.375,0.21875,-0.0027285454561933875,1.0006114726997353,1.48046875,0.0,4.763140992096718e-05
19,0.16796875,0.29296875,0.16796875,-0.002208929006883409,0.999905242421158,1.441650390625,0.0,4.7288159402146e-05
20,0.23828125,0.32421875,0.23828125,-0.003360788421559846,1.0005408693842621,1.4443359375,0.0,4.692327082154542e-05
21,0.24609375,0.35546875,0.24609375,-0.0065364179099560715,1.0006087186146821,1.4833984375,0.0,4.6537143179471045e-05
22,0.28125,0.41015625,0.28125,-0.007982177776284516,1.0013292178013697,1.53662109375,0.0,4.6130198700830455e-05
23,0.296875,0.4140625,0.296875,-0.009360776828543749,0.9976103372464242,1.500732421875,0.0,4.570288237343632e-05
24,0.32421875,0.4609375,0.32421875,-0.012026000345940702,0.9976444535399166,1.4658203125,0.0,4.525566146141886e-05
25,0.24609375,0.41015625,0.24609375,-0.008550597092835233,1.0037681646314331,1.41748046875,0.0,4.478902499427933e-05
26,0.38671875,0.515625,0.38671875,-0.011406827929022256,1.0046856867485072,1.3482666015625,0.0,4.430348323214347e-05
27,0.40234375,0.61328125,0.40234375,-0.014646035677287728,1.0032155400667344,1.3963623046875,0.0,4.379956710779951e-05
28,0.4453125,0.6640625,0.4453125,-0.005339911665942054,0.997321302481323,1.3363037109375,0.0,4.327782764613099e-05
29,0.484375,0.62109375,0.484375,-0.004618744475010317,1.0008068641333203,1.3057861328125,0.0,4.273883536157918e-05
30,0.51953125,0.6640625,0.51953125,-0.003865285325446166,0.9957694106222786,1.3287353515625,0.0,4.2183179634293794e-05
31,0.5625,0.69921875,0.5625,-0.006984056577493902,1.0001726921999348,1.38330078125,0.0,4.1611468065654586e-05
32,0.625,0.7265625,0.625,-0.0004680032216128893,1.00056047340419,1.3643798828125,0.0,4.1024325813868065e-05
33,0.6796875,0.83203125,0.6796875,-0.004327457532781409,1.0008790073961518,1.4554443359375,0.0,4.0422394910366236e-05
34,0.6640625,0.7734375,0.6640625,-0.0069706130470876815,1.0019256122373636,1.4052734375,0.0,3.980633355775461e-05
35,0.62890625,0.74609375,0.62890625,-0.006156512361485511,0.9992060213874674,1.363525390625,0.0,3.917681541007734e-05
36,0.55078125,0.71484375,0.55078125,-0.01928140572272241,0.996617804687943,1.37109375,0.0,3.853452883618644e-05
37,0.69921875,0.8515625,0.69921875,-0.016162219602847472,0.9987801247651064,1.442138671875,0.0,3.788017616702048e-05
38,0.58203125,0.76171875,0.58203125,0.000150856445543468,1.0042344436920057,1.305908203125,0.0,3.721447292761609e-05
39,0.69921875,0.828125,0.69921875,-0.004754598659928888,0.9963036362561348,1.38671875,0.0,3.6538147054691817e-05
40,0.70703125,0.81640625,0.70703125,-0.007744089898551465,0.9963259370269069,1.40478515625,0.0,3.5851938100659964e-05
41,0.76171875,0.88671875,0.76171875,-0.011617218042374589,1.0014513872404698,1.4793701171875,0.0,3.515659642493697e-05
42,0.78515625,0.8671875,0.78515625,-0.00424228562405915,0.9990495813317171,1.4632568359375,0.0,3.445288237343632e-05
43,0.6484375,0.8125,0.6484375,-0.006638070226472337,0.9973223220232864,1.39208984375,0.0,3.37415654471415e-05
44,0.71484375,0.8671875,0.71484375,-0.016209016648645047,1.0035557869907994,1.425048828125,0.0,3.3023423460667985e-05
45,0.68359375,0.79296875,0.68359375,0.004136558905884158,1.0031484485032596,1.329345703125,0.0,3.229924169173431e-05
46,0.7265625,0.83984375,0.7265625,0.00419363829496433,0.9951270501248596,1.393310546875,0.0,3.156981202247248e-05
47,0.71484375,0.85546875,0.71484375,-0.003032297634490533,1.003742674864169,1.4429931640625,0.0,3.0835932073516444e-05
48,0.6875,0.8671875,0.6875,-0.004549148430669447,0.9982589328861857,1.447998046875,0.0,3.0098404331815695e-05
49,0.78125,0.88671875,0.78125,-0.005410595982539235,1.0014905084762658,1.4583740234375,0.0,2.9358035273127483e-05
50,0.7578125,0.859375,0.7578125,-0.003350146860611858,0.9989737865757526,1.431884765625,0.0,2.86156344801475e-05
51,0.84375,0.91796875,0.84375,-0.002295332982612308,0.9972913625651335,1.4952392578125,0.0,2.787201375724307e-05
52,0.6875,0.87890625,0.6875,-0.004717829968285514,1.000546478290504,1.45166015625,0.0,2.7127986242756936e-05
53,0.71875,0.87109375,0.71875,-0.0075655306991393445,0.9988658159543022,1.4205322265625,0.0,2.6384365519852497e-05
54,0.79296875,0.90234375,0.79296875,-0.0044656651734840125,1.0002588515790962,1.43212890625,0.0,2.5641964726872526e-05
